population	median_age	dependency_ratio	pct_4family	schoolyr_avrg	pct_degree	pct_earner	pct_wmn_noincome	pct_incometwice	pct_belowminimum	pct_recepients	income	motorization	avgvehicle	avgabroad	village
7984.570631	27	98.81061512	16.02564103	14.03146242	51.30874414	66.13108677	13.68779016	21.49460356	33.67656491	0.288055564	4703.630755	30.99125117	1384.576562	6.447665246	BENE SHIMON
14038.72944	30	87.57029874	8.26019618	14.16153975	55.61154804	72.81655978	16.79844977	27.00987459	32.43141985	1.054226457	6521.587969	42.3869814	1392.654386	8.059629761	BINYAMINAGIVAT ADA
8486.679907	21	105.7580175	31.30372493	10.92548375	14.91224745	55.55003469	56.64959928	3.629931271	47.94340941	3.805964211	2049.960984	25.93566464	1247.506121	0.668695012	BASMA
7194.526007	23	91.66382137	23.66482505	10.19315654	8.867158525	57.50207882	46.19364136	2.62458257	48.75577043	3.196874955	2243.449377	27.04985348	1274.490859	0.791582707	BASMAT TABUN
7664.02809	22	95.33124085	30.18549747	10.43837983	11.59235388	54.36124475	47.70786249	2.827740982	57.36805793	3.757815037	1867.442014	27.23893048	1252.990976	0.721514083	BINE
7292.860975	33	86.01023889	7.631874299	14.09719865	53.59878389	69.03759455	15.60685602	25.44078245	30.25342115	0.178256517	5885.990515	45.24501844	1418.005705	7.769456075	BRENNER
128561.4753	39	74.24893585	6.296851574	10.74144993	18.73512067	63.90879247	16.42651052	6.153100499	39.42566282	7.772917866	3693.261592	25.52661693	1272.837405	5.199636536	BAT YAM
19552.42504	23	91.40310688	17.69575716	10.54688387	11.64316346	52.63739369	55.68430667	3.422570975	51.86427915	5.446894685	2053.171418	26.49701059	1223.627648	1.004279327	JUDEIDEMAKER
5975.405785	27	71.96493246	7.798165138	11.35608647	17.12972494	56.49355724	42.33515089	8.03394789	49.72076594	2.593966093	2909.380332	32.11075872	1275.921026	1.4412772	JULIS
9006.774348	21	106.0766887	26.94736842	10.02031275	11.71990443	54.59828764	46.1443753	2.625899503	55.65447818	1.665413101	1834.99827	29.73758072	1295.922361	0.922684872	JALJULYE
13429.29599	20	104.6175859	35.83078491	8.422003829	2.49248186	65.74151064	36.7202253	0.609162449	53.66180883	1.898833715	1943.512175	15.72255402	1175.310871	0.170192721	JISR AZZARQA
2991.572791	31	81.49755452	9.307875895	12.08507983	28.28366702	63.42704733	21.00282951	8.98935334	38.78294467	2.774460319	3735.926239	38.74681622	1373.010382	2.488169445	JISH
10709.37654	23	89.64496962	22.86501377	12.43497363	28.01346945	60.8085956	38.60965368	6.10007941	42.43700537	1.466005041	2862.096696	31.30711533	1259.317282	1.163077406	JATT
14349.01065	25	89.2449565	21.09016811	12.8231443	25.12703796	70.96015523	14.26341129	12.6120376	39.51177986	1.038465265	4062.319735	33.59904226	1353.915241	5.218895479	GIVAT ZEEV
24084.29404	29	90.1174854	17.62945226	14.18725728	55.92142637	71.46429793	12.5859061	25.50371049	31.17774617	1.13767088	6103.936405	38.95142413	1392.419569	7.161316638	GIVAT SHEMUEL
55928.01125	36	72.56111615	2.331924178	13.66281232	52.09655253	68.48938709	13.41336651	23.76760756	28.53787563	1.094263834	6565.900774	41.59656981	1383.198359	8.528996296	GIVATAYIM
24813.56271	28	98.23970915	11.2401975	13.32134074	39.63013745	70.43464861	13.02712566	20.47000805	33.55799918	1.862893007	4994.698885	38.32752706	1348.099362	5.150101146	GEDERA
4942.823488	33	92.01464604	7.441860465	14.28691702	54.34326843	68.79817744	16.79318918	28.44847994	32.02795255	0.283238923	6823.873747	52.89104844	1503.021059	10.47179774	GEDEROT
14027.03031	24	84.54889402	19.70684039	13.32766541	36.6918556	76.63914355	13.0787112	10.78928966	44.51095301	0.370712823	3921.793878	37.21764661	1323.845629	5.334129743	GOLAN
20087.07876	19	114.9355929	37.03976436	13.91805091	47.47895581	74.05887312	12.89600087	13.0230763	41.35866714	0.547730947	3583.756636	26.40268463	1281.495761	5.044534083	GUSH EZYON
24356.08551	29	82.22705739	11.18480555	13.54978447	42.8800418	70.18317536	15.68101022	22.41923722	32.86005476	0.299719756	5669.60503	45.33821032	1398.635465	6.733256309	GEZER
